experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,500,0.7,0.9631111111111111,0.0,0.0,0.0,0.0,257.80595976740744,0.0,0.0,0.0,0.04888888888888888,573789.3574034661,255.01749217931828,0.0,0.0,0.0,0.9511111111111111,0.008444444444444444,0.011111111111111112,0.006666666666666667,0.02266666666666667
stress_scan,load_scale,0.5,Full,2,15,0.5,1.0,1.0,1.0,500,0.7,0.950222222222222,0.0,0.0,0.0,0.0,257.60683626814813,0.0,0.0,0.0,0.06533333333333331,1122008.422495666,498.67040999807375,0.0,0.0,0.0,0.9346666666666666,0.012,0.016,0.011111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,IQL,1,15,0.5,1.0,1.0,1.0,500,0.7,0.9631111111111113,0.0,0.0,0.0,0.0,260.66180224000004,0.0,0.0,0.0,0.04933333333333333,429631.6236781982,190.94738830142143,0.0,0.0,0.0,0.9506666666666667,0.010222222222222223,0.009333333333333334,0.006222222222222222,0.023555555555555555
stress_scan,load_scale,0.5,IQL,2,15,0.5,1.0,1.0,1.0,500,0.7,0.9506666666666667,0.0,0.0,0.0,0.0,258.0293400977777,0.0,0.0,0.0,0.06355555555555553,620801.2662651715,275.91167389563174,0.0,0.0,0.0,0.9364444444444444,0.012,0.014222222222222223,0.010222222222222223,0.02711111111111111
stress_scan,load_scale,0.5,No-EVT,1,15,0.5,1.0,1.0,1.0,500,0.7,0.9631111111111111,0.0,0.0,0.0,0.0,257.80595976740744,0.0,0.0,0.0,0.04888888888888888,573789.3574034661,255.01749217931828,0.0,0.0,0.0,0.9511111111111111,0.008444444444444444,0.011111111111111112,0.006666666666666667,0.02266666666666667
stress_scan,load_scale,0.5,No-EVT,2,15,0.5,1.0,1.0,1.0,500,0.7,0.950222222222222,0.0,0.0,0.0,0.0,257.60683626814813,0.0,0.0,0.0,0.06533333333333331,1122008.422495666,498.67040999807375,0.0,0.0,0.0,0.9346666666666666,0.012,0.016,0.011111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,C6-Only,1,15,0.5,1.0,1.0,1.0,500,0.7,0.9631111111111111,0.0,0.0,0.0,0.0,257.80595976740744,0.0,0.0,0.0,0.04888888888888888,573789.3574034661,255.01749217931828,0.0,0.0,0.0,0.9511111111111111,0.008444444444444444,0.011111111111111112,0.006666666666666667,0.02266666666666667
stress_scan,load_scale,0.5,C6-Only,2,15,0.5,1.0,1.0,1.0,500,0.7,0.950222222222222,0.0,0.0,0.0,0.0,257.60683626814813,0.0,0.0,0.0,0.06533333333333331,1122008.422495666,498.67040999807375,0.0,0.0,0.0,0.9346666666666666,0.012,0.016,0.011111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,Lyapunov-Greedy,1,15,0.5,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,259.5526404799999,0.0,0.0,0.0,0.0,0.6074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,2,15,0.5,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,259.1677468148148,0.0,0.0,0.0,0.0,0.6074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
